,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
94,03.09.2021,386289,17541,321388,561,30832,515,203,7215,897,2891,3915,331,31,1512
95,03.10.2019,363798,12942,304328,298,29356,502,237,6742,1086,3557,4385,365,31,1536
96,03.10.2020,282294,5521,258264,268,12454,115,31,1218,200,869,3235,119,31,1536
97,03.10.2021,231155,5076,212832,209,9084,111,30,526,145,186,2876,80,31,1512
98,03.11.2019,273771,3870,254805,183,10262,99,24,735,149,228,3180,236,31,1584
99,03.11.2020,319130,9319,265678,286,28767,387,171,6571,881,3168,3662,240,30,1536
100,03.12.2019,396582,10056,336046,312,32688,490,246,7182,1000,3645,4530,387,30,1584
101,03.12.2020,323651,7847,272019,283,28213,476,198,6488,943,3363,3629,192,30,1536
102,04.01.2019,362796,6423,323351,232,20378,264,181,4824,582,1979,4310,272,30,1608
103,04.01.2020,300208,4415,277325,226,11701,88,26,1285,204,621,4003,314,30,1584
104,04.01.2021,256598,6014,220117,251,19963,286,138,3878,538,1762,3538,113,30,1536
105,04.02.2019,392402,7697,336816,253,31177,415,213,7091,923,3082,4337,398,30,1608
106,04.02.2020,385202,8051,329406,269,31480,404,191,6658,860,3282,4341,260,30,1584
107,04.02.2021,301030,8248,249608,266,27625,427,199,6241,849,3426,3936,205,30,1512
108,04.03.2019,370415,8498,315005,270,30176,420,263,7049,884,3117,4415,318,30,1584
109,04.03.2020,350033,9170,298117,285,26785,425,213,6329,843,3419,4244,203,30,1584
110,04.03.2021,311457,8652,258348,289,28550,548,208,6226,954,3582,3921,179,30,1512
111,04.04.2019,411146,7091,352179,331,32414,512,253,8110,1216,3684,5017,339,30,1584
112,04.04.2020,138723,6395,119796,142,7633,74,9,1072,200,519,2813,70,30,1584
113,04.04.2021,178783,5443,164270,100,5662,27,5,317,93,138,2626,102,30,1512
114,04.05.2019,344995,5463,315968,425,14868,192,61,1816,470,881,4552,299,30,1536
115,04.05.2020,247700,10907,199851,217,24336,417,179,5555,692,2724,2653,169,30,1512
116,04.05.2021,339685,11254,281002,345,30383,532,226,7368,970,3587,3799,219,30,1536
117,04.06.2019,401358,20224,330983,493,32048,532,194,7729,1072,3683,3999,401,30,1536
118,04.06.2020,300382,9261,248485,244,27791,391,162,6311,845,3109,3545,238,30,1512
119,04.06.2021,397335,15563,333396,437,32167,509,223,6929,970,3135,3683,323,30,1536
120,04.07.2019,392299,19675,322291,512,32378,613,224,7561,1041,3525,4078,401,30,1560
121,04.07.2020,284142,12242,253894,423,12192,204,31,1314,245,543,2883,171,30,1512
122,04.07.2021,241296,6102,222051,199,9093,116,11,552,89,175,2802,106,30,1536
123,04.08.2019,230396,9921,205982,431,9668,162,32,755,184,200,2767,294,30,1560
